排名,BRAND,MODEL,總分,Price_分數,CL_分數,Performance_分數,Stability_分數,Capacity_分數,Speed_分數
30,金士頓,單條16GB,-1206.208,-1208.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
31,芝奇 G.SKILL 幻光戟,16GB(雙通8GB*2),-1236.208,-1238.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
32,UMAX NB,32GB,-1246.16,-1248.4,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
33,UMAX,32GB(雙通16GB*2),-1266.208,-1268.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
34,威剛,單條32GB,-1335.96,-1338.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
35,威剛 NB,32GB,-1335.96,-1338.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
36,威剛,32GB,-1349.96,-1352.2,1.6960000000000002,0.09599999999999995,0.12799999999999997,0.16,0.16
37,美光 Micron Crucial PRO 超頻,32GB(雙通16GB*2),-1356.008,-1358.2,1.695999999999999,0.04799999999999997,0.12799999999999997,0.16,0.16
38,金士頓,單條32GB,-1356.16,-1358.4,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
39,金士頓,16GB,-1386.16,-1388.4,1.695999999999999,0.09599999999999995,0.12800000000000006,0.16,0.16
40,海盜船VENGEANCE,32G(16G*2),-1394.16,-1396.4,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
41,美光 Micron Crucial,單條32GB,-1395.96,-1398.2,1.695999999999999,0.09599999999999995,0.12800000000000006,0.16,0.16
42,美光 Micron Crucial NB,32GB,-1395.96,-1398.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
43,美光 Micron Crucial NB,雙通16G*2,-1415.96,-1418.2,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
44,威剛,32GB(雙通16G*2),-1416.008,-1418.2,1.6960000000000002,0.04799999999999997,0.12799999999999997,0.16,0.16
45,宏碁 Acer Predator Pallas II,32GB(雙通16GB*2),-1436.008,-1438.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
46,UMAX,單條32GB,-1456.208,-1458.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
47,十銓 T-CREATE EXPERT,32GB(16GB*2),-1476.008,-1478.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
48,金士頓 NB,32GB,-1476.16,-1478.4,1.6960000000000002,0.09599999999999995,0.12800000000000006,0.16,0.16
49,芝奇 G.SKILL Ripjaws V,32GB(雙通16GB*2),-1486.208,-1488.4,1.6960000000000002,0.04799999999999997,0.12799999999999997,0.16,0.16
50,Biwin 佰維 Black Opal DW100 RGB,32GB(雙通16GBx2),-1496.008,-1498.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
51,芝奇 Ripjaws S5焰刃,32GB(雙通16G*2),-1512.208,-1514.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
52,宏碁 Acer HT200,32GB(雙通16GB*2),-1526.208,-1528.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
53,Biwin 佰維 Black Opal HX100,32GB(雙通16GBx2),-1533.808,-1536.0,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
54,KLEVV(科賦),32GB(雙通道16GB*2),-1536.008,-1538.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
55,KLEVV(科賦),32GB(雙通16GB*2),-1536.008,-1538.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
56,十銓T-CREATE EXPERT 引領者,32GB(雙通16GB*2),-1536.008,-1538.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
57,金士頓,32GB(雙通16GB*2),-1536.16,-1538.4,1.6959999999999997,0.09599999999999995,0.12799999999999997,0.16,0.16
58,海盜船 VENGEANCE,32G(16G*2),-1546.008,-1548.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
59,宏碁 Acer Predator Vesta II RGB,32GB(雙通16GB*2),-1596.008,-1598.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
60,芝奇 G.SKILL 焰光戟,32GB(雙通16GB*2),-1596.16,-1598.4,1.6959999999999997,0.09599999999999995,0.12799999999999997,0.16,0.16
61,芝奇 G.SKILL 燄光戟,32GB(雙通16GB*2),-1606.16,-1608.4,1.6959999999999997,0.09599999999999995,0.12799999999999997,0.16,0.16
62,芝奇 RipjawsM5 RGB焰刃,32GB(16G*2),-1656.208,-1658.4,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
63,芝奇 G.SKILL 幻光戟,32GB(雙通16GB*2),-1656.208,-1658.4,1.6960000000000002,0.04799999999999997,0.12799999999999997,0.16,0.16
64,宏碁 Acer Predator Hermes RGB,32GB(雙通16GB*2),-1676.008,-1678.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
65,十銓T-Force Delta 炫光RGB系列,32GB(雙通16GB*2),-1676.008,-1678.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
66,十銓XTREEM 玄鏡散熱片,32GB(雙通16GB*2),-1676.008,-1678.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
67,芝奇 G.SKILL 皇家戟,32GB(雙通16GB*2),-1686.208,-1688.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
68,芝奇 焰鋒戟RGB,32GB(雙通16GB*2),-1714.272,-1716.4,1.6959999999999997,0.04799999999999997,0.06399999999999999,0.16,0.16
69,UMAX,64GB(雙通32GB*2),-1716.208,-1718.4,1.6480000000000001,0.09599999999999995,0.12799999999999997,0.16,0.16
70,Biwin 佰維 Black Opal HX100,48GB(雙通24GBx2),-1756.008,-1758.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
71,威剛XPG,32G(雙通16G*2),-1768.008,-1770.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
72,KLEVV(科賦),48GB(雙通24GB*2),-1776.008,-1778.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
73,威剛XPG,48G(雙通24G*2),-1816.008,-1818.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
74,Biwin 佰維 Black Opal DW100 RGB,48GB(雙通24GBx2),-1816.008,-1818.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
75,十銓T-CREATE EXPERT 引領者,48GB(雙通24GB*2),-1816.008,-1818.2,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
76,宏碁 Acer Predator hera RGB,48GB(雙通24GB*2),-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
77,美光 Micron Crucial,64GB(雙通32GB*2),-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12800000000000006,0.16,0.16
78,美光 Micron Crucial PRO 超頻,64GB(雙通32GB*2),-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
79,美光 Micron Crucial PRO 超頻,96GB(雙通48GB*2),-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
80,海盜船 VENGEANCE,64G(32G*2),-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
81,美光 Micron Crucial NB,64GB,-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
82,美光 Micron Crucial NB,雙通64G*2,-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12799999999999997,0.16,0.16
83,金士頓,48GB,-1826.5600000000002,-1828.8000000000002,1.695999999999999,0.09599999999999995,0.12800000000000006,0.16,0.16
84,威剛XPG,64G(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
85,Biwin Opal DW100 OC Lab聯名款RGB,192G(四通48G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
86,宏碁 Acer Predator Pallas II,48GB(雙通24GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
87,宏碁 Acer Predator Pallas II,64GB(雙通32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
88,宏碁 Acer Predator Pallas II,96GB(雙通48GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
89,宏碁 Acer HT200,64GB(雙通32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
90,宏碁 Acer Predator Hermes RGB,48GB(雙通24GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
91,宏碁 Acer Predator Hermes RGB,64GB(雙通32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
92,宏碁 Acer Predator hera RGB,32GB(雙通16GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
93,宏碁 Acer Predator hera OC Lab RGB,192G(四通48G*4),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
94,KLEVV(科賦),64GB(雙通道32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
95,海盜船 DOMINATOR TITANIUM,32G(16G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
96,芝奇Flare X5 烈焰槍,32GB(雙通16G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
97,芝奇Flare X5烈焰槍,64GB(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
98,芝奇Flare X5 烈焰槍,64GB(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
99,芝奇 Ripjaws S5焰刃,64GB(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
100,芝奇 Ripjaws S5焰刃,96GB(雙通48G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
101,芝奇 RipjawsM5 RGB焰刃,96GB(48G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
102,芝奇 烈焰槍RGB,64GB(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
103,芝奇 烈焰槍RGB,96GB(雙通48G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
104,芝奇 幻鋒戟RGB,64GB(雙通32G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
105,芝奇 幻鋒戟RGB,128GB(雙通64G*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
106,芝奇 焰鋒戟RGB,64GB(雙通32GB*2),-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
107,芝奇 焰鋒戟RGB,128GB(雙通64GB*2,-1826.6080000000002,-1828.8000000000002,1.6959999999999997,0.04799999999999997,0.12799999999999997,0.16,0.16
