排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
27,聯力,UNI FAN SL Wireless LCD 120 反向扇(黑) 三顆裝+控制器,單顆裝/厚28mm/雙側發光框架/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
28,聯力,UNI FAN SL Wireless LCD 120 反向扇(白) 三顆裝+控制器,三顆裝/厚28mm/雙側發光框架/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
29,聯力,UNI FAN TL Wireless 120 反向扇(黑) 三顆裝+控制器,三顆裝/厚28mm/雙側發光框架/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
30,聯力,UNI FAN TL Wireless 120 反向扇(白) 三顆裝+控制器,三顆裝/厚28mm/雙側發光框架/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
31,聯力,UNI FAN TL Wireless LCD 120 積木扇(黑) 單顆裝,三顆裝/厚28mm/雙側發光框架/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
32,聯力,UNI FAN TL Wireless LCD 120 積木扇(白) 單顆裝,三顆裝/厚28mm/側邊雙模式/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
33,聯力,UNI FAN TL Wireless LCD 120 反向扇(黑) 單顆裝,三顆裝/厚28mm/側邊雙模式/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
34,聯力,UNI FAN TL Wireless LCD 120 反向扇(黑) 三顆裝+控制器,三顆裝/厚28mm/側邊雙模式/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
35,聯力,UNI FAN TL Wireless LCD 120 反向扇(白) 單顆裝,三顆裝/厚28mm/側邊雙模式/PWM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
36,酷碼,MasterFan MF120,日本電產(溫柔颱風) 買二送一(共三個),430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
37,NZXT,顯卡直立套件 黑 內建PCI-E 4.0/220,小3Pin/防震墊片/1200RPM/二年保,430.3333333,430.0333333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
