排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Radiator_Size_分數,Thermal_Performance_分數,Noise_Level_分數,Fan_Performance_分數
28,ID-COOLING,SL240 XE 白 水冷散熱器,靜音扇/2.4吋液晶/冷頭內置風扇(註冊5+1年)【WXHYZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
29,ID-COOLING,SL360 XE 白 水冷散熱器,鏡面環狀冷頭/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
30,Phanteks,Glacier One 360M25 G2(黑) 水冷,鏡面環狀冷頭/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
31,Phanteks,Glacier One 360M25 G2(白) 水冷,鏡面環狀冷頭/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
32,保銳,AQUAFUSION II ARGB 240 幻彩晶蝶,鏡面環狀冷頭/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
33,保銳,LIQMAXFLO 240 風晶凌,ARGB 28mm風扇/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
34,保銳,LIQMAXFLO 420 風晶凌,ARGB 28mm風扇/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
35,DEEPCOOL,LS520 SE 240水冷,ARGB 28mm風扇/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
36,DEEPCOOL,LE360 V2 水冷,ARGB 28mm風扇/厚:5.5/6年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
37,DEEPCOOL,LE360 V2 WH(白) 水冷,90度直角式鰭片/3年保【WXHZ】,315.4125,315,0.0125,0.0125,0.0125,0.125,0.09375,0.0625,0.09375
