排名,BRAND,MODEL,總分,Price_分數,Capacity_分數,Read_Speed_分數,Write_Speed_分數,Warranty_分數,Interface_分數,NAND_Type_分數,DRAM_Cache_分數,Heat_Sink_分數,Performance_分數,Reliability_分數,Heat_Risk_分數
21,WD,黑標 SN850X,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
22,Seagate,FireCuda 540,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
23,Seagate,FireCuda 530,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
24,KLEVV,CRAS C910,-249.0036647727274,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
25,美光,Micron E100,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
26,威剛,XPG S70 BLADE,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
27,十銓,T-ForceZ540黑武士(石墨烯),-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
28,WD,藍標 SN5100,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
29,SK,海力士 Platinum P41,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
30,MSI,微星 M470PRO,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
31,KLEVV,CRAS C930,-249.02184659090923,-620.44,0.0581534090909091,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.03636363636363636,0.07272727272727272
32,美光,Micron Crucial T700 ,-249.03274147727285,-620.44,0.02907670454545455,181.8181818181818,189.0909090909091,0.014545454545454558,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.07272727272727272,0.03636363636363636,0.05454545454545454,0.07272727272727272
