排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Product_Type_分數,Compatibility_FormFactor_分數,Dual_Sided_Support_分數,Cooling_Performance_分數,Compatibility_分數
28,利民,Burst Assassin 120,TL-C12015薄扇/高6.7cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
29,利民,Burst Assassin 120 ARGB,TL-E12風扇/高10cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
30,利民,Royal Knight 120,5導管(6mm)/高14.8cm/AGHP 逆重力導管【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
31,利民,Peerless Assassin 120 MINI 黑化版,4導管(6mm)/正反向雙扇/高15.4cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
32,利民,Peerless Assassin 120 MINI 白化版,4導管(6mm)/高15.1cm/溫度監控【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
33,利民,Peerless Assassin 120,4導管(6mm)/高15.1cm/溫度監控【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
34,利民,Peerless Assassin 120 SE ARGB 白化版,6導管(6mm)/高15.4cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
35,利民,Phantom Spirit 120,6導管(6mm)/高15.4cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
36,九州風神,AG400 PLUS,6導管(6mm)/雙塔雙扇/高15.6cm/偏移不干涉【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
37,九州風神,AK400,6導管/雙塔單扇/高13.5cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
38,九州風神,AG620,6導管/雙塔單扇/高13.5cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
39,九州風神,AG620 ARGB,6導管(6mm)/雙塔雙扇/高15.7cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
40,九州風神,AG620 WH ARGB V2 白化版,6導管/雙塔雙扇/高15.5cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
41,銀欣,XE02-2066,6導管/雙塔雙扇/高16.2/數位監控【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
42,銀欣,Hydrogon H90 ARGB 下吹式散熱器,6導管/雙塔雙扇/高16.2/數位監控【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
43,銀欣,Argon V140 ARGB 散熱器,6導管(6mm)/雙塔12+14雙扇/高15.8cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
44,銀欣,Hydrogon D120 ARGB 散熱器,6導管(6mm)/雙塔12+14雙扇/高15.8cm【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
45,酷碼,Hyper 212 Black 散熱器,7導管(6mm)/雙塔雙扇/高15.7cm/陽極黑上蓋【WXHZ】,113.8611111,113.3555556,0.011111111,0.011111111,0.011111111,0.111111111,0.111111111,0.111111111,0.083333333,0.055555556
