排名,BRAND,MODEL,detail,總分,price_分數,Wattage(W)_分數,Efficiency_分數,Connectors_分數,Compatibility_分數,FormFactor_分數,ATX_Version_分數
19,酷碼,X Silent Max Platinum 1300W,ATX3.0(PCIe 5.0) 白色/雙8/金牌/全模/主日系/10年保【SFX規格】,1070,737.4285714,332.1428571,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
20,Antec,Signature 1300W,銅牌/5年保 (ST30SF.V2.0)【SFX規格】,1070,737.4285714,332.1428571,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
21,XPG,CYBERCORE II 1300W,銅牌/5年保 (ST45SF.V3.0)【SFX規格】,1070,737.4285714,332.1428571,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
22,微星,MEG Ai1300P PCIE5 1300W,雙8/金牌/全模組/全日系/5年保【SFX規格】,1070,737.4285714,332.1428571,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
23,聯力,EDGE 1300W,ATX3.1 黑色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,1070,737.4285714,332.1428571,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
24,微星,MAG A1250GL PCIE5 1250W,ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,1062.9,737.4285714,325,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
25,微星,MPG A1250GS PCIE5 1250W,雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保【SFX規格】,1062.9,737.4285714,325,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
26,華碩,TUF GAMING 1200W,雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
27,Montech,CENTURY II 1200W,白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
28,Montech,TITAN GOLD 1200W,雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
29,保銳,PlatiGemini 1200W,雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,1055.757143,737.4285714,317.8571429,0.042857143,0.085714286,0.057142857,0.142857143,0.142857143
30,全漢,HYDRO G PRO 1200W,銅牌/直出線/雙滾珠風扇/防潮塗層/6年保,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
31,XPG,CORE REACTOR II 1200W,銅牌/直出線/雙滾珠風扇/防潮塗層/6年保,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
32,曜越,Toughpower GF3 1200W,雙8/銅牌/直出線/雙滾珠風扇/防潮塗層/6年保,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
33,NZXT,C1200(1200W),銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1055.757143,737.4285714,317.8571429,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
34,華碩,ROG LOKI 1200W,銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
35,華碩,ROG STRIX 1200W,雙8/銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
36,華碩,ROG THOR III 1200W,白色版 雙8/銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
37,美洲獅,COUGAR POLAR X2 1200W,Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/雙滾珠風扇/8年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
38,Montech,TITAN PLA 1200W,Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/雙滾珠風扇/8年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
39,全漢,HYDRO PTM X PRO 1200W,Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
40,全漢,HYDRO PTM+ 1200W,Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
41,Apexgaming(首利),ODIN 1200W,Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
42,振華,LEADEX VII PRO 1200W,Gold 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,1055.714286,737.4285714,317.8571429,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
43,酷碼,V SFX Platinum 1100W,Gold 雙8/金牌/全模組/ATX3.0(雙PCIe 5.0)/防潮塗層/10年保,1041.485714,737.4285714,303.5714286,0.042857143,0.042857143,0.114285714,0.142857143,0.142857143
44,台達,超實在 1100W,AURA 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,1041.428571,737.4285714,303.5714286,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
45,華碩,ROG THOR III 1000W,AURA 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,1041.428571,737.4285714,303.5714286,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
46,Montech,CENTURY II 1050W,雙8/白金/全模組/ATX3.1(PCIe 5.1)/智慧停轉/10年保,1034.328571,737.4285714,296.4285714,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
47,酷碼,GX III GOLD 1050W,雙8/白金/全模組/ATX3.1(PCIe 5.1)/智慧停轉/10年保,1034.328571,737.4285714,296.4285714,0.085714286,0.042857143,0.057142857,0.142857143,0.142857143
48,美洲獅,COUGAR POLAR X2 1050W,白色版 雙8/白金/全模組/ATX3.1(PCIe 5.1)/智慧停轉/10年保,1034.285714,737.4285714,296.4285714,0.042857143,0.042857143,0.057142857,0.142857143,0.142857143
49,Antec,NE1000G M ATX3.0(1000W),雙8/白金/全模組/ATX3.1(PCIe 5.1)/智慧停轉/10年保,1027.285714,737.4285714,289.2857143,0.085714286,0.085714286,0.114285714,0.142857143,0.142857143
50,華碩,ROG LOKI 1000W,雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保,1027.2,737.4285714,289.2857143,0.042857143,0.042857143,0.114285714,0.142857143,0.142857143
